,Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
10,Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,124,53,42.7,42,33.9,79.2,8,6.5,15.1,34,27.4,64.2,11,8.9,20.8,46,37.1,20,16.100000000000001
11,Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006 Aug,124,60,48.4,42,33.9,70,8,6.5,13.3,34,27.4,56.7,18,14.5,30,39,31.5,20,16.100000000000001
12,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2001,61,41,67.2,40,65.599999999999994,97.6,0,0,0,40,65.599999999999994,97.6,1,1.6,2.4,7,11.5,12,19.7
13,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2002,72,45,62.5,45,62.5,100,0,0,0,45,62.5,100,0,0,0,18,25,7,9.699999999999999
14,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2003,79,49,62,44,55.7,89.8,0,0,0,44,55.7,89.8,5,6.3,10.199999999999999,20,25.3,10,12.7
15,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2004,80,58,72.5,48,60,82.8,0,0,0,48,60,82.8,10,12.5,17.2,13,16.3,9,11.3
16,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2005,85,61,71.8,58,68.2,95.1,0,0,0,58,68.2,95.1,3,3.5,4.9,11,12.9,9,10.6
17,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2006,90,70,77.8,67,74.400000000000006,95.7,0,0,0,67,74.400000000000006,95.7,3,3.3,4.3,15,16.7,5,5.6
18,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2006 Aug,90,71,78.900000000000006,68,75.599999999999994,95.8,0,0,0,68,75.599999999999994,95.8,3,3.3,4.2,14,15.6,5,5.6
19,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2001,69,34,49.3,6,8.699999999999999,17.600000000000001,0,0,0,6,8.699999999999999,17.600000000000001,28,40.6,82.4,19,27.5,10,14.5
20,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2002,55,22,40,11,20,50,4,7.3,18.2,7,12.7,31.8,11,20,50,18,32.700000000000003,11,20
21,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2003,70,31,44.3,22,31.4,71,0,0,0,22,31.4,71,9,12.9,29,20,28.6,18,25.7
22,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2004,65,29,44.6,13,20,44.8,3,4.6,10.3,10,15.4,34.5,16,24.6,55.2,27,41.5,8,12.3
23,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2005,88,49,55.7,38,43.2,77.599999999999994,18,20.5,36.700000000000003,20,22.7,40.799999999999997,11,12.5,22.4,20,22.7,14,15.9
24,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2006,84,47,56,40,47.6,85.1,17,20.2,36.200000000000003,23,27.4,48.9,7,8.300000000000001,14.9,25,29.8,5,6
25,Total Cohort,01M509,MARTA VALLE HIGH SCHOOL,2006 Aug,84,50,59.5,41,48.8,82,18,21.4,36,23,27.4,46,9,10.7,18,22,26.2,5,6
26,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2001,166,88,53,36,21.7,40.9,0,0,0,36,21.7,40.9,53,31.9,60.2,45,27.1,30,18.100000000000001
27,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2002,172,77,44.8,53,30.8,68.8,0,0,0,53,30.8,68.8,24,14,31.2,67,39,28,16.3
28,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2003,205,86,42,71,34.6,82.6,48,23.4,55.8,23,11.2,26.7,15,7.3,17.399999999999999,80,39,39,19
29,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2004,200,97,48.5,74,37,76.3,60,30,61.9,14,7,14.4,23,11.5,23.7,78,39,25,12.5
30,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2005,154,70,45.5,56,36.4,80,45,29.2,64.3,11,7.1,15.7,14,9.1,20,64,41.6,20,13
31,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2006,193,105,54.4,91,47.2,86.7,69,35.799999999999997,65.7,22,11.4,21,14,7.3,13.3,53,27.5,35,18.100000000000001
32,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2006 Aug,193,105,54.4,91,47.2,86.7,69,35.799999999999997,65.7,22,11.4,21,14,7.3,13.3,53,27.5,35,18.100000000000001
33,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2001,17,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
34,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2002,7,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
35,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2003,58,58,100,57,98.3,98.3,49,84.5,84.5,8,13.8,13.8,1,1.7,1.7,0,0,0,0
36,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2004,60,58,96.7,58,96.7,100,54,90,93.1,4,6.7,6.9,0,0,0,0,0,2,3.3
37,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2005,49,47,95.9,47,95.9,100,38,77.599999999999994,80.900000000000006,9,18.399999999999999,19.100000000000001,0,0,0,2,4.1,0,0
38,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2006,46,46,100,46,100,100,31,67.400000000000006,67.400000000000006,15,32.6,32.6,0,0,0,0,0,0,0
39,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2006 Aug,46,46,100,46,100,100,31,67.400000000000006,67.400000000000006,15,32.6,32.6,0,0,0,0,0,0,0
40,Total Cohort,01M650,CASCADES HIGH SCHOOL,2001,86,27,31.4,2,2.3,7.4,0,0,0,2,2.3,7.4,25,29.1,92.6,47,54.7,11,12.8
41,Total Cohort,01M650,CASCADES HIGH SCHOOL,2002,92,22,23.9,6,6.5,27.3,0,0,0,6,6.5,27.3,16,17.399999999999999,72.7,62,67.400000000000006,8,8.699999999999999
42,Total Cohort,01M650,CASCADES HIGH SCHOOL,2003,93,27,29,7,7.5,25.9,0,0,0,7,7.5,25.9,20,21.5,74.099999999999994,62,66.7,4,4.3
43,Total Cohort,01M650,CASCADES HIGH SCHOOL,2004,67,28,41.8,10,14.9,35.700000000000003,0,0,0,10,14.9,35.700000000000003,18,26.9,64.3,31,46.3,7,10.4
44,Total Cohort,01M650,CASCADES HIGH SCHOOL,2005,95,31,32.6,17,17.899999999999999,54.8,0,0,0,17,17.899999999999999,54.8,14,14.7,45.2,54,56.8,7,7.4
45,Total Cohort,01M650,CASCADES HIGH SCHOOL,2006,89,49,55.1,36,40.4,73.5,0,0,0,36,40.4,73.5,13,14.6,26.5,34,38.200000000000003,6,6.7
46,Total Cohort,01M650,CASCADES HIGH SCHOOL,2006 Aug,89,49,55.1,36,40.4,73.5,0,0,0,36,40.4,73.5,13,14.6,26.5,34,38.200000000000003,6,6.7
47,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2001,119,112,94.1,110,92.4,98.2,0,0,0,110,92.4,98.2,2,1.7,1.8,5,4.2,2,1.7
48,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2002,110,104,94.5,103,93.6,99,0,0,0,103,93.6,99,1,0.9,1,6,5.5,0,0
49,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2003,126,123,97.6,123,97.6,100,0,0,0,123,97.6,100,0,0,0,2,1.6,1,0.8
50,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2004,117,108,92.3,108,92.3,100,0,0,0,108,92.3,100,0,0,0,8,6.8,1,0.9
51,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2005,115,107,93,107,93,100,0,0,0,107,93,100,0,0,0,7,6.1,1,0.9
52,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,139,134,96.4,134,96.4,100,0,0,0,134,96.4,100,0,0,0,4,2.9,1,0.7
53,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006 Aug,139,136,97.8,136,97.8,100,0,0,0,136,97.8,100,0,0,0,2,1.4,1,0.7
54,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2001,11,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
55,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2002,18,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
56,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2003,17,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
57,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2004,14,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
58,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2005,24,9,37.5,4,16.7,44.4,0,0,0,4,16.7,44.4,5,20.8,55.6,9,37.5,3,12.5
59,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2006,25,19,76,8,32,42.1,0,0,0,8,32,42.1,11,44,57.9,4,16,1,4
60,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2006 Aug,25,19,76,8,32,42.1,0,0,0,8,32,42.1,11,44,57.9,4,16,1,4
61,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2001,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
62,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
63,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2003,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
64,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2004,80,53,66.3,50,62.5,94.3,0,0,0,50,62.5,94.3,3,3.8,5.7,11,13.8,16,20
65,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2005,79,59,74.7,48,60.8,81.400000000000006,0,0,0,48,60.8,81.400000000000006,11,13.9,18.600000000000001,17,21.5,2,2.5
66,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2006,102,91,89.2,77,75.5,84.6,0,0,0,77,75.5,84.6,14,13.7,15.4,5,4.9,3,2.9
67,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2006 Aug,102,92,90.2,78,76.5,84.8,0,0,0,78,76.5,84.8,14,13.7,15.2,4,3.9,3,2.9
68,Total Cohort,02M294,ESSEX STREET ACADEMY,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
69,Total Cohort,02M294,ESSEX STREET ACADEMY,2003,11,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
70,Total Cohort,02M294,ESSEX STREET ACADEMY,2004,96,81,84.4,48,50,59.3,0,0,0,48,50,59.3,33,34.4,40.700000000000003,10,10.4,5,5.2
71,Total Cohort,02M294,ESSEX STREET ACADEMY,2005,70,54,77.099999999999994,53,75.7,98.1,0,0,0,53,75.7,98.1,1,1.4,1.9,15,21.4,0,0
72,Total Cohort,02M294,ESSEX STREET ACADEMY,2006,89,64,71.900000000000006,58,65.2,90.6,0,0,0,58,65.2,90.6,6,6.7,9.4,15,16.899999999999999,9,10.1
73,Total Cohort,02M294,ESSEX STREET ACADEMY,2006 Aug,89,67,75.3,58,65.2,86.6,0,0,0,58,65.2,86.6,9,10.1,13.4,12,13.5,9,10.1
74,Total Cohort,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2003,4,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
75,Total Cohort,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2004,81,59,72.8,39,48.1,66.099999999999994,0,0,0,39,48.1,66.099999999999994,20,24.7,33.9,15,18.5,7,8.6
76,Total Cohort,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2005,91,74,81.3,63,69.2,85.1,6,6.6,8.1,57,62.6,77,11,12.1,14.9,11,12.1,4,4.4
77,Total Cohort,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,75,58,77.3,50,66.7,86.2,1,1.3,1.7,49,65.3,84.5,8,10.7,13.8,11,14.7,5,6.7
78,Total Cohort,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006 Aug,75,60,80,52,69.3,86.7,1,1.3,1.7,51,68,85,8,10.7,13.3,9,12,5,6.7
79,Total Cohort,02M298,PACE HIGH SCHOOL,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
80,Total Cohort,02M298,PACE HIGH SCHOOL,2003,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
81,Total Cohort,02M298,PACE HIGH SCHOOL,2004,115,98,85.2,98,85.2,100,41,35.700000000000003,41.8,57,49.6,58.2,0,0,0,8,7,7,6.1
82,Total Cohort,02M298,PACE HIGH SCHOOL,2005,98,82,83.7,77,78.599999999999994,93.9,13,13.3,15.9,64,65.3,78,5,5.1,6.1,13,13.3,2,2
83,Total Cohort,02M298,PACE HIGH SCHOOL,2006,92,78,84.8,76,82.6,97.4,39,42.4,50,37,40.200000000000003,47.4,2,2.2,2.6,6,6.5,4,4.3
84,Total Cohort,02M298,PACE HIGH SCHOOL,2006 Aug,92,79,85.9,77,83.7,97.5,39,42.4,49.4,38,41.3,48.1,2,2.2,2.5,5,5.4,4,4.3
85,Total Cohort,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2002,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
86,Total Cohort,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2003,6,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
87,Total Cohort,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2004,83,57,68.7,53,63.9,93,2,2.4,3.5,51,61.4,89.5,4,4.8,7,21,25.3,5,6
88,Total Cohort,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2005,79,59,74.7,57,72.2,96.6,4,5.1,6.8,53,67.099999999999994,89.8,2,2.5,3.4,13,16.5,3,3.8
89,Total Cohort,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2006,80,49,61.3,45,56.3,91.8,0,0,0,45,56.3,91.8,4,5,8.199999999999999,24,30,7,8.800000000000001
90,Total Cohort,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2006 Aug,80,57,71.3,48,60,84.2,0,0,0,48,60,84.2,9,11.3,15.8,16,20,7,8.800000000000001
91,Total Cohort,02M303,FACING HISTORY SCHOOL  THE,2004,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
92,Total Cohort,02M303,FACING HISTORY SCHOOL  THE,2005,105,47,44.8,47,44.8,100,0,0,0,47,44.8,100,0,0,0,35,33.299999999999997,20,19
93,Total Cohort,02M303,FACING HISTORY SCHOOL  THE,2006,71,34,47.9,34,47.9,100,0,0,0,34,47.9,100,0,0,0,21,29.6,14,19.7
94,Total Cohort,02M303,FACING HISTORY SCHOOL  THE,2006 Aug,71,42,59.2,42,59.2,100,0,0,0,42,59.2,100,0,0,0,13,18.3,14,19.7
95,Total Cohort,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2003,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
96,Total Cohort,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2005,70,50,71.400000000000006,41,58.6,82,2,2.9,4,39,55.7,78,9,12.9,18,8,11.4,9,12.9
97,Total Cohort,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2006,61,46,75.400000000000006,40,65.599999999999994,87,0,0,0,40,65.599999999999994,87,6,9.800000000000001,13,3,4.9,10,16.399999999999999
98,Total Cohort,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2006 Aug,61,46,75.400000000000006,40,65.599999999999994,87,0,0,0,40,65.599999999999994,87,6,9.800000000000001,13,3,4.9,10,16.399999999999999
99,Total Cohort,02M308,LOWER MANHATTAN ARTS ACADEMY,2004,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
100,Total Cohort,02M308,LOWER MANHATTAN ARTS ACADEMY,2005,67,52,77.599999999999994,30,44.8,57.7,2,3,3.8,28,41.8,53.8,22,32.799999999999997,42.3,7,10.4,7,10.4
101,Total Cohort,02M308,LOWER MANHATTAN ARTS ACADEMY,2006,68,46,67.599999999999994,32,47.1,69.599999999999994,1,1.5,2.2,31,45.6,67.400000000000006,14,20.6,30.4,15,22.1,6,8.800000000000001
102,Total Cohort,02M308,LOWER MANHATTAN ARTS ACADEMY,2006 Aug,68,48,70.599999999999994,34,50,70.8,1,1.5,2.1,33,48.5,68.8,14,20.6,29.2,13,19.100000000000001,6,8.800000000000001
103,Total Cohort,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2002,4,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
104,Total Cohort,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2003,25,15,60,4,16,26.7,0,0,0,4,16,26.7,11,44,73.3,8,32,2,8
105,Total Cohort,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2004,44,13,29.5,7,15.9,53.8,0,0,0,7,15.9,53.8,6,13.6,46.2,25,56.8,4,9.1
106,Total Cohort,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2005,78,30,38.5,15,19.2,50,0,0,0,15,19.2,50,15,19.2,50,35,44.9,8,10.3
107,Total Cohort,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2006,79,41,51.9,30,38,73.2,0,0,0,30,38,73.2,11,13.9,26.8,23,29.1,12,15.2
108,Total Cohort,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2006 Aug,79,45,57,31,39.200000000000003,68.900000000000006,0,0,0,31,39.200000000000003,68.900000000000006,14,17.7,31.1,20,25.3,11,13.9
109,Total Cohort,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
110,Total Cohort,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2004,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
111,Total Cohort,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2005,77,49,63.6,32,41.6,65.3,6,7.8,12.2,26,33.799999999999997,53.1,17,22.1,34.700000000000003,20,26,7,9.1
112,Total Cohort,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,72,53,73.599999999999994,44,61.1,83,8,11.1,15.1,36,50,67.900000000000006,9,12.5,17,13,18.100000000000001,4,5.6
113,Total Cohort,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006 Aug,72,58,80.599999999999994,46,63.9,79.3,8,11.1,13.8,38,52.8,65.5,12,16.7,20.7,8,11.1,4,5.6
114,Total Cohort,02M374,GRAMERCY ARTS HIGH SCHOOL,2005,68,50,73.5,13,19.100000000000001,26,0,0,0,13,19.100000000000001,26,37,54.4,74,10,14.7,4,5.9
115,Total Cohort,02M374,GRAMERCY ARTS HIGH SCHOOL,2006,93,68,73.099999999999994,51,54.8,75,1,1.1,1.5,50,53.8,73.5,17,18.3,25,16,17.2,7,7.5
116,Total Cohort,02M374,GRAMERCY ARTS HIGH SCHOOL,2006 Aug,93,73,78.5,52,55.9,71.2,1,1.1,1.4,51,54.8,69.900000000000006,21,22.6,28.8,12,12.9,6,6.5
117,Total Cohort,02M394,EMMA LAZARUS HIGH SCHOOL,2006,10,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
118,Total Cohort,02M394,EMMA LAZARUS HIGH SCHOOL,2006 Aug,10,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
119,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2001,360,271,75.3,197,54.7,72.7,73,20.3,26.9,124,34.4,45.8,74,20.6,27.3,54,15,26,7.2
120,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2002,372,276,74.2,222,59.7,80.400000000000006,80,21.5,29,142,38.200000000000003,51.4,54,14.5,19.600000000000001,61,16.399999999999999,31,8.300000000000001
121,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2003,312,228,73.099999999999994,178,57.1,78.099999999999994,68,21.8,29.8,110,35.299999999999997,48.2,50,16,21.9,48,15.4,32,10.3
122,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2004,297,236,79.5,202,68,85.6,95,32,40.299999999999997,107,36,45.3,34,11.4,14.4,47,15.8,11,3.7
123,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2005,344,241,70.099999999999994,191,55.5,79.3,68,19.8,28.2,123,35.799999999999997,51,50,14.5,20.7,75,21.8,15,4.4
124,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006,352,262,74.400000000000006,219,62.2,83.6,80,22.7,30.5,139,39.5,53.1,43,12.2,16.399999999999999,55,15.6,22,6.3
125,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006 Aug,352,287,81.5,231,65.599999999999994,80.5,80,22.7,27.9,151,42.9,52.6,56,15.9,19.5,31,8.800000000000001,21,6
126,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2001,40,32,80,0,0,0,0,0,0,0,0,0,32,80,100,6,15,2,5
127,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2002,53,44,83,0,0,0,0,0,0,0,0,0,44,83,100,8,15.1,1,1.9
128,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2003,70,55,78.599999999999994,0,0,0,0,0,0,0,0,0,55,78.599999999999994,100,13,18.600000000000001,2,2.9
129,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2004,50,33,66,0,0,0,0,0,0,0,0,0,33,66,100,15,30,2,4
130,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2005,58,44,75.900000000000006,0,0,0,0,0,0,0,0,0,44,75.900000000000006,100,12,20.7,1,1.7
131,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2006,55,42,76.400000000000006,0,0,0,0,0,0,0,0,0,42,76.400000000000006,100,11,20,2,3.6
132,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2006 Aug,55,44,80,0,0,0,0,0,0,0,0,0,44,80,100,9,16.399999999999999,2,3.6
133,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2001,80,72,90,54,67.5,75,15,18.8,20.8,39,48.8,54.2,18,22.5,25,4,5,4,5
134,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2002,96,87,90.6,71,74,81.599999999999994,13,13.5,14.9,58,60.4,66.7,16,16.7,18.399999999999999,7,7.3,2,2.1
135,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2003,84,72,85.7,61,72.599999999999994,84.7,24,28.6,33.299999999999997,37,44,51.4,11,13.1,15.3,11,13.1,1,1.2
136,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2004,81,1,1.2,0,0,0,0,0,0,0,0,0,1,1.2,100,79,97.5,1,1.2
137,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2005,100,95,95,80,80,84.2,21,21,22.1,59,59,62.1,15,15,15.8,4,4,1,1
138,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2006,80,74,92.5,61,76.3,82.4,8,10,10.8,53,66.3,71.599999999999994,13,16.3,17.600000000000001,6,7.5,0,0
139,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2006 Aug,80,78,97.5,64,80,82.1,8,10,10.3,56,70,71.8,14,17.5,17.899999999999999,2,2.5,0,0
140,Total Cohort,02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2001,78,44,56.4,13,16.7,29.5,0,0,0,13,16.7,29.5,31,39.700000000000003,70.5,22,28.2,10,12.8
